Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
201480,European Sculpture And Decorative Arts,Chess set,Chess set,Probably German,,1800,1899.0,Metal,"Gift of Gustavus A. Pfeiffer, 1953",
203525,European Sculpture And Decorative Arts,Toy,Partridges in wheatsheaf,"British, Chelsea",,1750,1760.0,Soft-Paste Porcelain,"Gift of Irwin Untermyer, 1964",
211642,European Sculpture And Decorative Arts,Souvenir spoon,Souvenir spoon,European,,1885,1899.0,Gilt And Enamel,"Gift of Sir William H. Redding, in memory of his wife, 1907",
218086,European Sculpture And Decorative Arts,Border,Border,"Italian, Venice",,1600,1699.0,Needle Lace,"Purchase by subscription, 1909",
218343,European Sculpture And Decorative Arts,Fragment,Fragment,Spanish,,1800,1815.0,Machine Net,"Purchase by subscription, 1909",
226057,European Sculpture And Decorative Arts,Borders,Borders,French,,1700,1815.0,Needle Lace,"Gift of Ann Payne Blumenthal, 1936",
229526,European Sculpture And Decorative Arts,Panel,Panel,French,,1775,1780.0,Silk,"Gift of Mrs. Janet S. Kaffenburgh in memory of her grandmother Mrs. Joseph Garson of Rochester, N.Y., 1976",
236638,European Sculpture And Decorative Arts,Plaque,Head described as that of Saint James the Elder,German,,1800,1899.0,Iron,"Gift of Martin and Roberta Lerner, 2009",
241148,Greek And Roman Art,Statuette of a seated goddess,Terracotta statuette of a seated goddess,Cypriot,,-325,-275.0,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",
244271,Greek And Roman Art,Axehead,Axehead,Cypriot,,-3200,-2000.0,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",
246324,Greek And Roman Art,"Fibula, boat-shaped type","Fibula, boat-shaped type",Italic,,-800,-501.0,Bronze,"Purchase, 1896",
250722,Greek And Roman Art,"Statuette of a woman, seated",Terracotta statuette of a seated woman,"Greek, Attic",,-524,-475.0,Terracotta,"Gift of Henry S. Washington, 1919",
252173,Greek And Roman Art,Seal,Jasper amygdaloid seal,Minoan,,-1600,-1450.0,Jasper,"Bequest of Richard B. Seager, 1926",
252221,Greek And Roman Art,Seal,Seal,"Minoan, Crete",,-2000,-1450.0,Haemaetite,"Bequest of Richard B. Seager, 1926",
311479,"Arts Of Africa, Oceania, And The Americas",Horn,Horn,Asmat People,,1900,2000.0,Bamboo,"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",Indonesia
312687,"Arts Of Africa, Oceania, And The Americas",Snake figure,Coiled Serpent,Aztec,,1400,1600.0,"Stone, Pigment","The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Mexico
313019,"Arts Of Africa, Oceania, And The Americas",Pendant,Figure Pendant,Atlantic Watershed,,300,800.0,Jadeite,"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Costa Rica
316760,"Arts Of Africa, Oceania, And The Americas",Painting,Painting,Abelam People,,1900,2000.0,"Paper, Paint","Gift of Lita Osmundsen, 1992",Papua New Guinea
316760,"Arts Of Africa, Oceania, And The Americas",Painting,Painting,Abelam People,,1900,2000.0,"Paper, Paint","Gift of Lita Osmundsen, 1992",Papua New Guinea
317135,"Arts Of Africa, Oceania, And The Americas",Ritual stone,Stone Pulidor,Mexican,,1200,1600.0,Stone,"Bequest of Arthur M. Bullowa, 1993  ",Mexico
319532,"Arts Of Africa, Oceania, And The Americas",Costume element,Ceremonial Costume Element,Timor,,1850,1950.0,"Cotton, Glass Beads","Bequest of John B. Elliott, 1997",Indonesia
323644,Ancient Near Eastern Art,Sherd,Sherd,Iran,,-3505,-3100.0,"Ceramic, Paint","Rogers Fund, 1938",
466522,Medieval Art,Fragment,Glass Fragment,French,,1200,1299.0,Colorless Glass,"Gift of Dr. Bashford Dean, 1923",France
468605,Medieval Art,Hilt,Eagle-Headed Hilt,Byzantine,,300,400.0,Copper Alloy,"Gift of Lawrence J. Majewski, 1963",
469993,The Cloisters,Panel,Grisaille Panel,French,,1250,1270.0,White And Pot-Metal Glass With Vitreous Paint,"The Cloisters Collection, 1982",France
470842,The Cloisters,Capital,Capital,Catalan,,1100,1150.0,Marble,"The Cloisters Collection, 1925",present-day France
471090,The Cloisters,Roundel,Roundel with Saint John the Baptist,South Netherlandish,,1510,1520.0,"Colorless Glass, Silver Stain, Vitreous Paint","The Cloisters Collection, 1932",
693616,Greek And Roman Art,Kylix fragment,Terracotta rim fragment of a kylix (drinking cup),"Greek, Attic",,-500,-450.0,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
695260,Medieval Art,Fragment,Fragment,European Or Middle Eastern,,1125,1275.0,"Glass, Ceramic","Gift of Clarence H. Mackay, Archer M. Huntington, Stephen H. P. Pell and Bashford Dean, 1928",
703467,Greek And Roman Art,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",,-530,-450.0,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
709728,Greek And Roman Art,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",,-530,-450.0,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
728820,Greek And Roman Art,Column-krater fragment,Terracotta fragment of a column-krater (bowl for mixing wine and water),"Greek, Attic",,-530,-400.0,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
733407,Greek And Roman Art,Oinochoe fragment,Terracotta fragment of an oinochoe (jug),"Greek, Attic",,-530,-300.0,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
740176,Greek And Roman Art,Skyphos fragment,Terracotta fragment of a skyphos (deep drinking cup),"Greek, Attic",,-530,-300.0,Terracotta,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",
771069,European Sculpture And Decorative Arts,Vase,Vase with flowering branch motif (one of a pair),"British, Stoke-On-Trent, Staffordshire",,1872,1872.0,Bone China,"Gift of Helene Fortunoff and Robert Grossman, 2017",
